Scenario_ID,User_ID,Role,Triggered_Count,Triggered_Rules,Deterministic_Risk,LLM_Risk,Override_Status,LLM_Explanation
SCN13,USR013,Branch Manager,2,Rule 2: Repeated Failed Logins (>3); Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user, a Branch Manager, accessed records during expected working hours and within the allowed limit. However, the four failed login attempts and access from an unrecognized IP address raise concerns about potential unauthorized access or account compromise. While the actions do not indicate immediate malicious intent, the combination of these factors warrants maintaining a medium risk level for further monitoring."
SCN14,USR014,Branch Manager,2,Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 sensitive records, exceeding the daily limit of 99 records. This action triggered multiple risk rules, indicating potential misuse of access privileges. Despite being within expected working hours and using a saved IP address, the significant volume of data accessed raises concerns about possible insider threats, warranting a high-risk assessment."
SCN15,USR015,Branch Manager,2,Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records, exceeding the daily limit of 99 for their role, which indicates potential misuse of access privileges. Additionally, the access was made from an unrecognized IP address, raising concerns about the legitimacy of the action. These factors combined suggest a significant risk of insider threat, warranting a high-risk assessment."
SCN16,USR016,Branch Manager,2,Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user, a Branch Manager, accessed 10 sensitive/VIP records from an unrecognized IP address, which triggered a medium risk assessment. Although the access occurred during expected working hours and is within the daily download limit, the use of an unrecognized IP raises concerns about potential unauthorized access. Therefore, the risk level remains medium due to the combination of sensitive data access and the unusual IP location."
SCN17,USR017,Branch Manager,3,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records),Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed 150 records outside of normal working hours and triggered multiple risk rules, including repeated failed login attempts and a mass data download. These factors indicate potential malicious intent or policy violations, warranting a high-risk assessment."
SCN18,USR018,Branch Manager,3,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and had multiple failed login attempts prior to the successful access. This combination of factors indicates potential malicious intent or compromised credentials, warranting a high-risk assessment."
SCN19,USR019,Branch Manager,3,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed records outside of normal working hours and from an unrecognized IP address, which raises significant concerns. Additionally, the four failed login attempts indicate potential unauthorized access attempts. These factors combined suggest a higher risk of insider threat, warranting an adjustment to a high risk level."
SCN20,USR020,Branch Manager,3,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and downloaded 150 records, exceeding the daily limit of 99. This behavior raises significant concerns regarding potential insider threats, warranting a high-risk assessment."
SCN21,USR021,Branch Manager,3,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records outside of normal working hours, which exceeds the daily limit of 99 records. Additionally, the access was made from an unrecognized IP address, indicating potential unauthorized access or data exfiltration. These factors combined elevate the risk level to High due to the significant deviation from expected behavior and potential for insider threat."
SCN22,USR022,Branch Manager,3,Rule 1: Outside Working Hours; Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user accessed sensitive/VIP account records outside of normal working hours and from an unrecognized IP address, which raises concerns about potential unauthorized access. However, there were no failed login attempts, and the action was a view rather than a download, which mitigates some risk. Therefore, the initial medium risk assessment is appropriate."
SCN23,USR023,Branch Manager,3,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, triggered multiple risk rules: 4 failed login attempts indicate potential unauthorized access attempts, while downloading 150 sensitive records exceeds the daily limit of 99, raising concerns about data misuse. The combination of these factors, especially involving sensitive/VIP account access, warrants a high-risk assessment."
SCN24,USR024,Branch Manager,3,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, triggered multiple risk rules: 4 failed login attempts indicate potential unauthorized access attempts, while downloading 150 records exceeds the daily limit, raising concerns about data misuse. Additionally, the access from an unrecognized IP location suggests possible external threats. These factors collectively elevate the risk assessment to High."
SCN25,USR025,Branch Manager,3,Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed sensitive/VIP records from an unrecognized IP address and had multiple failed login attempts, indicating potential unauthorized access. The combination of these factors, especially the access of sensitive data outside of expected IP and the failed logins, raises significant concerns about insider threat activity."
SCN26,USR026,Branch Manager,3,Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records, exceeding the daily limit of 99, which is a significant deviation from expected behavior. Additionally, the access was made from an unrecognized IP address, raising concerns about potential unauthorized access. Given the sensitivity of the records accessed and the combination of these factors, the risk level is appropriately assessed as High."
SCN27,USR027,Branch Manager,4,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of expected working hours and downloaded 150 records, exceeding the daily limit. Additionally, the user had 4 failed login attempts, indicating potential unauthorized access attempts. These factors collectively contribute to a high risk assessment."
SCN28,USR028,Branch Manager,4,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed and downloaded 150 records outside of normal working hours, which exceeds the daily limit of 99 records. Additionally, there were 4 failed login attempts from an unrecognized IP address, indicating potential unauthorized access attempts. These factors collectively suggest a significant risk of insider threat, warranting the maintenance of a high-risk assessment."
SCN29,USR029,Branch Manager,4,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP account records outside of normal working hours and from an unrecognized IP address, which raises significant concerns. Additionally, the four failed login attempts indicate potential unauthorized access attempts. These factors collectively suggest a high risk of insider threat."
SCN30,USR030,Branch Manager,4,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and downloaded a mass of 150 records, exceeding the daily limit. Additionally, the access was made from an unrecognized IP address, indicating potential malicious intent or a significant policy violation. These factors collectively maintain a high-risk assessment."
SCN31,USR031,Branch Manager,4,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, triggered multiple risk rules including repeated failed logins, a mass data download exceeding the daily limit, access to sensitive/VIP accounts, and an unrecognized IP location. These factors indicate potential malicious intent or compromised credentials, warranting the maintenance of a high risk level."
SCN32,USR032,Branch Manager,5,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours, downloaded 150 records (exceeding the daily limit), and had 4 failed login attempts from an unrecognized IP address. These factors collectively indicate a significant risk of potential insider threat behavior."
